公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地 区,省 份,城 市,所属行业,公司网址
000762,西藏矿业,西藏矿业发展股份有限公司,"TIBET MINERAL DEVELOPMENT CO.,LTD",西藏自治区拉萨市中和国际城金珠二路8号,762,西藏矿业,1997/7/8,"475,974,877","475,950,049",,,,0,0,西南,西藏,拉萨市,B 采矿业,
000766,通化金马,通化金马药业集团股份有限公司,"TONGHUA GOLDEN-HORSE PHARMACEUTICAL INDUSTRY CO.,LTD",吉林省通化市江南路100-1号,766,通化金马,1997/4/30,"573,488,849","449,012,280",,,,0,0,东北,吉林,通化市,C 制造业,www.thjm.cn
000767,漳泽电力,山西漳泽电力股份有限公司,"shanxi zhangze electric power co.,ltd",山西省太原市晋阳街南一条10号,767,漳泽电力,1997/6/9,"2,253,737,800","1,572,679,908",,,,0,0,华北,山西,太原市,D 水电煤气,www.zhangzepower.com
000768,中航飞机,中航飞机股份有限公司,"AVIC AIRCRAFT Co.,Ltd.",陕西省西安市阎良区西飞大道一号,768,中航飞机,1997/6/26,"2,768,645,071","2,653,817,284",,,,0,0,西北,陕西,西安市,C 制造业,www.aircraft_co.avic.com
000771,杭汽轮Ｂ,杭州汽轮机股份有限公司,"HANGZHOU STEAM TURBINE CO.,LTD",浙江省杭州市石桥路357号,,,,0,0,200771,杭汽轮Ｂ,1998/4/28,"274,185,600","274,073,559",华东,浙江,杭州市,C 制造业,www.htc.cn
000776,广发证券,广发证券股份有限公司,"GF SECURITIES CO.,LTD",广东省广州市天河区天河北路183-187号大都会广场43楼（4301-4316房）,776,广发证券,1997/6/11,"5,919,291,464","5,919,291,464",,,,0,0,华南,广东,广州市,J 金融业,www.gf.com.cn
000777,中核科技,中核苏阀科技实业股份有限公司,"SUFA Technology Industry Co.,Ltd.,CNNC.",江苏省苏州市国家高新技术产业开发区浒关工业园,777,中核科技,1997/7/10,"383,417,593","383,360,292",,,,0,0,华东,江苏,苏州市,C 制造业,www.chinasufa.com
000778,新兴铸管,新兴铸管股份有限公司,"XINXING DUCTILE IRON PIPES CO., LTD",河北省武安市上洛阳村北(二六七二厂区),778,新兴铸管,1997/6/6,"3,643,307,361","3,642,934,230",,,,0,0,华北,河北,邯郸市,C 制造业,www.xinxing-pipes.com
000779,三毛派神,兰州三毛实业股份有限公司,"LANZHOU SANMAO INDUSTRIAL CO.,LTD",甘肃省兰州市西固区玉门街486号,779,三毛派神,1997/5/28,"186,441,020","186,441,020",,,,0,0,西北,甘肃,兰州市,C 制造业,www.chinapaishen.com
000780,平庄能源,内蒙古平庄能源股份有限公司,"INNER MONGOLIA PingZhuang Energy Resources CO.,LTD",内蒙古自治区赤峰市元宝山区平庄镇哈河街,780,平庄能源,1997/6/6,"1,014,306,324","1,014,306,324",,,,0,0,华北,内蒙古,赤峰市,B 采矿业,www.nmgpzny.com
000782,美达股份,广东新会美达锦纶股份有限公司,"GUANGDONG XINHUI MEIDA NYLON CO., LTD",广东省江门市新会区会城镇江会路上浅口,782,美达股份,1997/6/19,"528,139,623","404,508,779",,,,0,0,华南,广东,江门市,C 制造业,www.meidanylon.com
000783,长江证券,长江证券股份有限公司,"Changjiang Securities Co., LTD",湖北省武汉市江汉区新华路特8号,783,长江证券,1997/7/31,"4,742,467,678","4,742,392,213",,,,0,0,华中,湖北,武汉市,J 金融业,www.cjsc.com
000785,武汉中商,武汉中商集团股份有限公司,"WUHAN ZHONGNAN COMMERCIAL GROUP CO.,LTD",湖北省武汉市武昌区中南路9号,785,武汉中商,1997/7/11,"251,221,698","251,093,698",,,,0,0,华中,湖北,武汉市,F 批发零售,www.zhongshang.com.cn
000786,北新建材,北新集团建材股份有限公司,BEIJING NEW BUILDING MATERIALS PUBLIC LIMITED COMPANY,北京市海淀区三里河路甲11号,786,北新建材,1997/6/6,"1,413,981,592","1,377,655,722",,,,0,0,华北,北京,北京市,C 制造业,www.bnbm.com.cn
000788,北大医药,北大医药股份有限公司,"PKU HealthCare Corp., Ltd.",重庆市江北区寸滩水口,788,北大医药,1997/6/16,"595,987,425","558,774,373",,,,0,0,西南,重庆,重庆市,C 制造业,www.pku-hc.com
000789,万年青,江西万年青水泥股份有限公司,"JIANGXI WANNIANQING CEMENT CO.,LTD",江西省万年县陈营镇,789,万年青,1997/9/23,"613,364,368","613,349,824",,,,0,0,华东,江西,上饶市,C 制造业,www.wnq.com.cn
000790,华神集团,成都华神集团股份有限公司,"Chengdu huasun group Inc., LTD.",四川省成都市高新技术开发区天府大道高新孵化园华拓大厦B座3楼,790,华神集团,1998/3/27,"431,021,374","427,807,921",,,,0,0,西南,四川,成都市,C 制造业,www.huasungrp.com
000791,甘肃电投,甘肃电投能源发展股份有限公司,GEPIC Energy Development Co.， Ltd.,甘肃省兰州市城关区北滨河东路69号甘肃投资集团大厦,791,甘肃电投,1997/10/14,"722,157,900","188,966,250",,,,0,0,西北,甘肃,兰州市,D 水电煤气,www.yoxin.net
000792,盐湖股份,青海盐湖工业股份有限公司,"Qinghai Salt Lake Industry Co., Ltd.",青海省格尔木市黄河路28号,792,盐湖股份,1997/9/4,"1,590,509,203","1,566,377,949",,,,0,0,西北,青海,海西蒙古族藏族自治州,C 制造业,www.qhyhgf.com
000793,华闻传媒,华闻传媒投资集团股份有限公司,Huawen Media Investment Corporation,海南省海口市海甸四东路民生大厦,793,华闻传媒,1997/7/29,"2,051,228,683","1,696,511,579",,,,0,0,华南,海南,海口市,R 文化传播,www.000793.com
000795,太原刚玉,太原双塔刚玉股份有限公司,"TAIYUAN TWIN TOWER ALUMINUM OXIDE CO.,LTD",山西省太原市郝庄正街62号,795,太原刚玉,1997/8/8,"444,486,764","326,396,168",,,,0,0,华北,山西,太原市,C 制造业,www.twin-tower.com
000796,凯撒旅游,海航凯撒旅游集团股份有限公司,"HNA-CAISSA　TRAVEL　GROUP　CO.,LTD.",陕西省宝鸡市渭滨区经二路155号,796,凯撒旅游,1997/7/3,"803,000,258","246,180,446",,,,0,0,西北,陕西,宝鸡市,H 住宿餐饮,www.yijituan.com
000797,中国武夷,中国武夷实业股份有限公司,"CHINA WUYI CO.,LTD",福建省福州市鼓楼区温泉街道五四路89号置地广场4层01店面,797,中国武夷,1997/7/15,"389,452,440","334,361,822",,,,0,0,华东,福建,福州市,K 房地产,www.chinawuyi.com.cn
000798,中水渔业,中水集团远洋股份有限公司,"CNFC OVERSEAS FISHERY CO.,LTD",北京市西城区西单民丰胡同31号中水大厦6层,798,中水渔业,1998/2/12,"319,455,000","319,395,869",,,,0,0,华北,北京,北京市,A 农林牧渔,www.cofc.com.cn
000799,*ST酒鬼,酒鬼酒股份有限公司,"JIUGUI LIQUOR CO., LTD.",湖南省吉首市峒河街道振武营村,799,*ST酒鬼,1997/7/18,"324,928,980","224,201,689",,,,0,0,华中,湖南,湘西土家族苗族自治州,C 制造业,www.china000799.com
000800,一汽轿车,一汽轿车股份有限公司,"FAW CAR CO.,LTD",吉林省长春市高新技术产业开发区蔚山路4888号,800,一汽轿车,1997/6/18,"1,627,500,000","1,411,754,078",,,,0,0,东北,吉林,长春市,C 制造业,www.fawcar.com.cn
000801,四川九洲,四川九洲电器股份有限公司,"SICHUAN JIUZHOU ELECTRONIC CO., LTD",四川省绵阳市科创园区九洲大道259号,801,四川九洲,1998/5/6,"511,403,323","459,888,172",,,,0,0,西南,四川,绵阳市,C 制造业,www.jiuzhoutech.com
000802,北京文化,北京京西文化旅游股份有限公司,"BEIJING JINGXI CULTURE&TOURISM CO.,LTD",北京市门头沟区石龙工业区泰安路5号,802,北京文化,1998/1/8,"388,600,360","374,980,360",,,,0,0,华北,北京,北京市,R 文化传播,www.bj-tour.com.cn
000803,金宇车城,四川金宇汽车城(集团)股份有限公司,SICHUAN　JINYU AUTOMOBILE　CITY（GROUP）CO.，LTD,四川省南充市顺庆区延安路380号,803,金宇车城,1998/3/3,"127,730,893","97,692,759",,,,0,0,西南,四川,南充市,C 制造业,www.scjycc.com
000806,银河生物,北海银河生物产业投资股份有限公司,"Galaxy Biomedical Investment Co.,Ltd.",广西壮族自治区北海市西藏路银河软件科技园专家创业区1号,806,银河生物,1998/4/16,"1,099,911,762","698,448,301",,,,0,0,华南,广西,北海市,C 制造业,www.g-biomed.com
000807,云铝股份,云南铝业股份有限公司,"YUNNAN ALUMINIUM CO.,LTD",云南省昆明市呈贡区七甸街道,807,云铝股份,1998/4/8,"1,898,611,645","1,538,976,301",,,,0,0,西南,云南,昆明市,C 制造业,www.ylgf.com
